,0,1
0,-525.5,501.0
1,5155.5,6731.0
2,2233.0,2865.0
3,4466.0,1141.0
4,4813.0,4578.0
5,721.5,362.0
6,5076.5,5171.0
7,3198.5,2703.0
8,4669.5,4498.0
9,617.5,942.0
10,1822.5,952.0
11,5292.0,5957.0
12,3842.5,4589.0
13,5118.5,5174.0
14,3762.5,1829.0
15,4899.0,5083.0
16,1893.5,1622.0
17,3240.5,2938.0
18,1029.0,2845.0
19,4487.5,3688.0
20,1742.0,1121.0
21,4747.5,4759.0
22,-92.0,565.0
23,4627.5,4238.0
24,4776.5,4743.0
25,3719.0,3680.0
26,3343.5,3919.0
27,846.0,463.0
28,1068.0,544.0
29,3842.5,3960.0
30,4776.5,3821.0
31,2596.0,2148.0
32,3647.5,3378.0
33,4615.5,5082.0
34,2253.5,1754.0
35,4283.5,4897.0
36,4699.0,5041.0
37,5119.0,5269.0
38,4395.5,4965.0
39,4776.5,4895.0
40,4747.5,4802.0
41,5047.5,4983.0
42,4747.5,4815.0
43,4828.0,4842.0
44,3269.5,3503.0
45,957.5,881.0
46,2488.0,2453.0
47,5033.0,4096.0
48,750.5,352.0
49,2854.0,3137.0
50,3871.5,4622.0
51,2442.5,3604.0
52,-167.0,318.0
53,1211.5,666.0
54,5118.5,5165.0
55,545.5,329.0
56,2554.5,2112.0
57,3347.0,3243.0
58,2233.0,3041.0
59,4385.5,5949.0
60,1349.5,1323.0
61,4283.5,4426.0
62,4667.5,3382.0
63,5692.5,6136.0
64,-359.0,1001.0
65,379.0,354.0
66,4828.0,4819.0
67,5113.5,6226.0
68,4485.0,4788.0
69,701.5,317.0
70,4967.5,4929.0
71,1038.0,773.0
72,5634.5,5662.0
73,3347.0,3098.0
74,848.0,596.0
75,2336.5,2878.0
76,3117.5,2662.0
77,4967.5,6147.0
78,3269.5,3147.0
79,4747.5,4713.0
80,2897.5,2951.0
81,2116.5,2665.0
82,5664.0,6217.0
83,957.5,935.0
84,1029.0,2368.0
85,1211.5,564.0
86,244.5,414.0
87,957.5,775.0
88,3261.0,716.0
89,3097.5,3143.0
90,4627.5,4519.0
91,5155.5,6296.0
92,4254.5,5295.0
93,3240.5,2229.0
94,52.5,656.0
95,5692.5,6235.0
96,6107.5,4945.0
97,848.0,453.0
98,3026.5,2935.0
99,3343.5,3301.0
100,1148.5,559.0
101,1760.5,3246.0
102,5076.5,5312.0
103,743.5,336.0
104,4395.5,4848.0
105,5735.5,6397.0
106,3117.5,2635.0
107,5039.0,3897.0
108,4468.0,4643.0
109,1349.5,1459.0
110,1038.0,805.0
111,1864.5,1473.0
112,1993.5,2710.0
113,5592.5,5774.0
114,3902.5,3481.0
115,5592.5,6116.0
116,3842.5,4729.0
117,4996.5,4232.0
118,2625.5,2778.0
119,2488.0,2466.0
120,-359.0,927.0
121,4165.5,5331.0
122,4996.5,5353.0
123,5185.0,6806.0
124,2946.0,2533.0
125,5009.5,5825.0
126,1349.5,2713.0
127,5735.5,3682.0
128,4487.5,4069.0
129,3762.5,2407.0
130,2416.5,2678.0
131,52.5,441.0
132,1821.5,2020.0
133,2458.5,3016.0
134,1522.0,941.0
135,4669.5,4600.0
136,3567.0,2999.0
137,4327.0,4091.0
138,4898.5,4665.0
139,1038.0,751.0
140,4485.0,5775.0
141,1029.0,2134.0
142,2554.5,1780.0
143,4747.5,4747.0
144,4887.5,5628.0
145,4887.5,5959.0
146,4174.5,2559.0
147,917.5,374.0
148,5692.5,6467.0
149,3261.0,791.0
150,1893.5,1739.0
151,1190.5,581.0
152,2473.5,2846.0
153,4967.5,4827.0
154,3097.5,3370.0
155,1742.0,1111.0
156,355.0,1197.0
157,3908.5,938.0
158,917.5,431.0
159,5611.5,6429.0
160,4385.5,6083.0
161,5955.5,6310.0
162,2897.5,2635.0
163,4967.5,5332.0
164,4699.0,4575.0
165,3347.0,3184.0
166,2625.5,2920.0
167,3672.5,1010.0
168,5592.5,5826.0
169,4887.5,642.0
170,4395.5,4597.0
171,4165.5,5612.0
172,401.0,243.0
173,244.5,457.0
174,1760.5,3198.0
175,679.5,387.0
176,4468.0,4778.0
177,2336.5,2678.0
178,4508.0,5930.0
179,4747.5,4385.0
180,1821.5,1880.0
181,772.5,381.0
182,4248.0,4482.0
183,1148.5,487.0
184,4320.0,1730.0
185,5349.5,5474.0
186,4385.5,4867.0
187,617.5,904.0
188,5198.0,5234.0
189,1821.5,1950.0
190,5734.5,6641.0
191,355.0,1179.0
192,4320.0,2430.0
193,917.5,526.0
194,5148.0,5626.0
195,4813.0,1792.0
196,1148.5,666.0
197,3672.5,1175.0
198,4619.5,4379.0
199,1893.5,1583.0
200,1080.0,940.0
201,3689.5,3243.0
202,5033.0,6622.0
203,721.5,352.0
204,-167.0,482.0
205,765.5,611.0
206,2416.5,2775.0
207,5242.5,4305.0
208,4669.5,4499.0
209,3068.5,3412.0
210,4547.0,4430.0
211,2726.0,2441.0
212,3198.5,3299.0
213,3567.0,3402.0
214,3269.5,3228.0
215,5692.5,6258.0
216,4799.0,3.0
217,1080.0,264.0
218,1029.0,2251.0
219,4967.5,5873.0
220,5292.0,5532.0
221,3422.5,3736.0
222,5592.5,5376.0
223,4034.5,4096.0
224,5664.0,5975.0
225,679.5,313.0
226,-92.0,550.0
227,3842.5,3652.0
228,52.5,1001.0
229,5009.5,5990.0
230,5763.5,5932.0
231,1349.5,1299.0
232,5039.0,5960.0
233,3755.0,3705.0
234,6107.5,6570.0
235,5320.5,6000.0
236,4828.0,4983.0
237,-503.5,675.0
238,-56.5,1082.0
239,1821.5,2569.0
240,5198.0,5353.0
241,2488.0,2974.0
242,1148.5,459.0
243,4508.0,5865.0
244,4537.0,5183.0
245,1760.5,4180.0
246,-359.0,1185.0
247,3117.5,2999.0
248,3068.5,3238.0
249,1760.5,2573.0
250,2116.5,2124.0
251,1029.0,2104.0
252,599.0,326.0
253,2726.0,2460.0
254,4696.0,3703.0
255,4738.0,5226.0
256,3647.5,2490.0
257,5089.5,5227.0
258,5292.0,5737.0
259,6078.5,6695.0
260,5113.5,6785.0
261,52.5,949.0
262,4615.5,5155.0
263,4776.5,4462.0
264,4385.5,5886.0
265,1993.5,3153.0
266,4831.5,5169.0
267,4738.0,5825.0
268,4385.5,5747.0
269,3755.0,4594.0
270,4327.0,4757.0
271,1211.5,489.0
272,5118.5,5253.0
273,5278.5,5319.0
274,957.5,899.0
275,3422.5,3616.0
276,4767.5,4594.0
277,1822.5,1097.0
278,1522.0,1110.0
279,1864.5,1074.0
280,2488.0,2477.0
281,743.5,301.0
282,1760.5,3505.0
283,4887.5,6128.0
284,5692.5,3045.0
285,2416.5,2849.0
286,5148.0,5418.0
287,5320.5,5407.0
288,4487.5,2706.0
289,4468.0,4275.0
290,1821.5,2225.0
291,4747.5,4254.0
292,1760.5,2404.0
293,772.5,357.0
294,2116.5,2766.0
295,4327.0,4646.0
296,1864.5,1288.0
297,5076.5,4683.0
298,5349.5,5424.0
299,1522.0,1098.0
300,4073.5,4369.0
301,3842.5,3935.0
302,2336.5,2913.0
303,244.5,513.0
304,4627.5,4805.0
305,888.0,498.0
306,1029.0,1930.0
307,4898.5,4482.0
308,5278.5,5297.0
309,2442.5,3689.0
310,4831.5,1773.0
311,3068.5,2626.0
312,3097.5,3374.0
313,617.5,978.0
314,4073.5,4358.0
315,4485.0,4776.0
316,3842.5,4016.0
317,3347.0,3201.0
318,4899.0,4701.0
319,3261.0,696.0
320,-359.0,1035.0
321,3623.0,3854.0
322,957.5,848.0
323,1822.5,1372.0
324,4776.5,4677.0
325,5692.5,5484.0
326,4548.5,4155.0
327,5047.5,4885.0
328,4327.0,4544.0
329,4996.5,4158.0
330,846.0,332.0
331,2554.5,1736.0
332,4978.0,5238.0
333,3762.5,1881.0
334,4527.5,4470.0
335,1029.0,2540.0
336,3647.5,3358.0
337,4485.0,3887.0
338,401.0,418.0
339,5033.0,6585.0
340,-56.5,1472.0
341,4395.5,4877.0
342,4165.5,5801.0
343,2116.5,2673.0
344,3261.0,774.0
345,-92.0,721.0
346,5278.5,5604.0
347,4899.0,5275.0
348,4327.0,4352.0
349,4738.0,4707.0
350,4327.0,4307.0
351,-503.5,664.0
352,5033.0,6568.0
353,5512.0,6041.0
354,4073.5,3644.0
355,4619.5,4903.0
356,1219.5,766.0
357,848.0,604.0
358,4747.5,4761.0
359,3097.5,2949.0
360,4073.5,4447.0
361,679.5,337.0
362,1623.5,774.0
363,5185.0,3675.0
364,4898.5,4361.0
365,621.0,230.0
366,957.5,819.0
367,2897.5,2496.0
368,3871.5,4929.0
369,1211.5,426.0
370,2488.0,2008.0
