,0,1
0,386.215087890625,501.0
1,6170.578125,6731.0
2,2983.27294921875,2865.0
3,5579.05712890625,1141.0
4,5940.6904296875,4578.0
5,367.8515625,362.0
6,4873.67529296875,5171.0
7,2922.664306640625,2703.0
8,4615.58447265625,4498.0
9,1220.7254638671875,942.0
10,1285.6209716796875,952.0
11,5335.02978515625,5957.0
12,4122.2060546875,4589.0
13,4976.33837890625,5174.0
14,1923.5126953125,1829.0
15,4931.62451171875,5083.0
16,1991.6575927734375,1622.0
17,3022.06787109375,2938.0
18,2182.500244140625,2845.0
19,4017.173095703125,3688.0
20,1240.142578125,1121.0
21,4555.21142578125,4759.0
22,600.6595458984375,565.0
23,4547.291015625,4238.0
24,4590.01611328125,4743.0
25,3627.16552734375,3680.0
26,3462.29248046875,3919.0
27,401.4925842285156,463.0
28,580.2898559570312,544.0
29,4122.2060546875,3960.0
30,4590.01611328125,3821.0
31,2370.23779296875,2148.0
32,3346.552490234375,3378.0
33,4988.88671875,5082.0
34,1710.1927490234375,1754.0
35,4597.9091796875,4897.0
36,4636.0439453125,5041.0
37,5252.91015625,5269.0
38,4545.80517578125,4965.0
39,4590.01611328125,4895.0
40,4529.4130859375,4802.0
41,4878.09716796875,4983.0
42,4529.4130859375,4815.0
43,4688.4697265625,4842.0
44,3066.8935546875,3503.0
45,843.295654296875,881.0
46,2555.865478515625,2453.0
47,6119.84912109375,4096.0
48,390.48834228515625,352.0
49,3399.773193359375,3137.0
50,4235.34423828125,4622.0
51,3142.0888671875,3604.0
52,337.3978576660156,318.0
53,519.9971313476562,666.0
54,4976.33837890625,5165.0
55,380.52374267578125,329.0
56,1935.892333984375,2112.0
57,2986.25830078125,3243.0
58,2983.27294921875,3041.0
59,5454.43896484375,5949.0
60,1825.9925537109375,1323.0
61,4597.9091796875,4426.0
62,5212.14990234375,3382.0
63,6098.10546875,6136.0
64,837.1978759765625,1001.0
65,337.2052001953125,354.0
66,4688.4697265625,4819.0
67,6169.27587890625,6226.0
68,4514.904296875,4788.0
69,303.2882385253906,317.0
70,4767.4306640625,4929.0
71,864.3825073242188,773.0
72,5746.4638671875,5662.0
73,2986.25830078125,3098.0
74,600.7447509765625,596.0
75,2783.51904296875,2878.0
76,2828.259765625,2662.0
77,5727.4794921875,6147.0
78,3066.8935546875,3147.0
